CONTRACT,ITM_NO,ITM_SELL
APCO,C8948,3.95
APCO,C8952,3.95
APCO,C9100,3.95
APCO,C9119,3.95
APCO,Y157C,0.9
APCO,Y159C,0.9
APCO,Y172,0.55
APCO,Y176,0.55
APCO,ZY9,3.5
APCO,C9012,3.95
APCO,C9118,3.95
APCO,C9149,3.95
APCO,C9150,3.95
APCO,C9148,4.5
APCO,C9155,4.5
APCO,Y162C,0.55
APCO,Y186,0.55
APCO,ZY10,0.99
BARBUYS,CAS5A,0.35
BARBUYS,TSP001,3.5
BARBUYS,TSP001B,3.5
BARBUYS,TSP033,0.9
BARBUYS,C9066,1.2
BARBUYS,C9118,1.95
BARBUYS,C9071,2.5
BARBUYS,C9101,2.5
BARBUYS,C9012,2.5
BARBUYS,C9246,3.5
BARBUYS,C9247,3.5
BARBUYS,C9211,3.21
BARBUYS,C9203,4.95
BARBUYS,C9204,4.95
BARBUYS,C9206,4.95
BARBUYS,y142,0.49
BARBUYS,Y157C,0.69
BARBUYS,Y162C,0.49
BARBUYS,Y94,1.5
BARBUYS,Y149,0.89
BARBUYS,Y194,0.79
BARBUYS,Y03C,0.29
BARBUYS,y171,0.79
BARBUYS,Y195,0.79
BARBUYS,Y187,0.49
BARBUYS,LC04,1.55
BARBUYS,LC05,1.55
BARBUYS,LC15,1.55
BARBUYS,C9218,2.5
BARBUYS,C9219,2.5
BARBUYS,C9251,5.5
BARBUYS,C9252,5.5
BARBUYS,C8952,2.49
BARBUYS,C8948,2.49
BARBUYS,C9163,5.89
BARBUYS,C9164,5.89
BARBUYS,P932,18.95
BARBUYS,P788,13.5
BARBUYS,P915,11.9
BARBUYS,WD-80,7.89
BARBUYS,MPC34,4.89
BARBUYS,MPC44,7.49
BARBUYS,MPC47,3.89
BARBUYS,MPC48,3.89
BARCITY,TSP001,3.95
BARCITY,TSP001B,3.95
BARCITY,CAS5A,0.35
BARCITY,CAS5B,0.35
BARCITY,CAS5C,0.35
BARCITY,CAS6,0.35
BARCITY,CAS7A,0.35
BARCITY,CAS16,1.3
BARCITY,CAS17,1.3
BARCITY,CAS18,1.3
BARCITY,CAS19,1.3
BARCITY,ZY6,0.65
BARCITY,ZY4,1.75
BARCITY,Y01,0.13
BARCITY,Y66R,0.35
DISDAVE,Read kit2*,16.8
DISDAVE,Readkit15*,15.6
DOLSEN,C9071,2.5
DOLSEN,C9066,1.2
DOLSEN,C8948,2.75
DOLSEN,C8952,2.75
DOLSEN,C9101,2.25
DOLSEN,C9100,2.25
DOLSEN,C9203,3.5
DOLSEN,C9204,3.5
DOLSEN,C9218,2.25
DOLSEN,C9219,2.25
DOLSEN,C8987,2.75
DOLSEN,C9075,2.75
DOLSEN,C9117,3.5
DOLSEN,C9118,2.25
DOLSEN,C9195,4.95
DOLSEN,C9012,2.25
DOLSEN,C9197,3.5
DOLSEN,C9209,2.95
DOLSEN,C9210,2.95
DOLSEN,C9211,2.95
DOLSEN,C9212,2.95
DOLSEN,C8952,3.5
DOLSEN,C9075,2.75
DOLSEN,Y149,0.22
DOLSEN,Y03C,0.25
DOLSEN,Y142,0.39
DOLSEN,Y139,0.25
DOLSEN,Y171,0.49
DOLSEN,Y148,0.49
DOLSEN,Y151,0.22
DOLSEN,Y153,0.69
DOLSEN,Y157C,0.39
DOLSEN,Y162C,0.3
DOLSEN,Y121,0.79
DOLSEN,Y172,0.39
DOLSEN,Y176,0.39
DOLSEN,Y190,0.39
DOLSEN,Y194,0.49
DOLSEN,LC04,1.2
DOLSEN,LC16,1.2
DOLSEN,LC06,1.2
DOLSEN,ZY10,0.9
DOLSEN,ZY9,2.95
DOLSEN,MM-1,2.5
DOLSEN,M005,3.95
DOLSEN,M016,0.99
DOLSEN,ASH070,2.5
DOLSEN,ASH035,2.5
DOLSEN,ASH025,1.95
DOLSEN,CIG351,1.95
DOLSEN,CIG457,3.25
DOLSEN,CIG447,3.25
DOLSEN,CIG461,3.25
DOLSEN,CIG231,1.95
DOLSEN,CIG437,3.95
DOLSEN,CIG438,2.95
DOLSEN,CIG482,3.95
DOLSEN,CIG398,7.5
DOLSEN,CIG399,8.5
DOLSEN,WD-80,8
DOLSEN,MPC14,1.95
DOLSEN,MPC20,0.99
DOLSEN,MPC23,2.95
DOLSEN,MPC28,1.99
DOLSEN,MPC29,4.95
DOLSEN,MPC31,2.25
DOLSEN,MPC32,2.25
DOLSEN,MPC33,2.25
DOLSEN,MPC34,2.95
DOLSEN,MPC35,3.5
DOLSEN,MPC44,4.95
DOLSENMO,C1000,5.89
DOLSENMO,C1001,5.89
DOLSENMO,C1002,5.89
DOLSENMO,C1003,5.89
DOLSENMO,C9186,5.89
DOLSENMO,C9188,5.89
DOLSENMO,C9209,3.21
DOLSENMO,C9208,3.21
DOLSENMO,C9210,3.21
DOLSENMO,C9211,3.21
DOLSENMO,C9173,3.89
DOLSENMO,C9202,3.89
DOLSENMO,C9204,3.89
DOLSENMO,C9203,3.89
DOLSENMO,C9205,3.89
DOLSENMO,C9206,3.89
DOLSENMO,C9118,2.5
DOLSENMO,C9071,2.5
DOLSENMO,C8952,2.49
DOLSENMO,C8948,2.59
DOLSENMO,C9010,7.95
DOLSENMO,C9113,8.89
DOLSENMO,C9164,5.89
DOLSENMO,C9163,5.89
DOLSENMO,C9195,3.19
DOLSENMO,C9196,3.19
DOLSENMO,C9197,3.19
DOLSENMO,C9218,3.19
DOLSENMO,C9219,3.19
DOLSENMO,C9066,1.39
DOLSENMO,ZY9,3.95
DOLSENMO,ZY10,0.99
DOLSENMO,Y157C,0.69
DOLSENMO,Y149,0.24
DOLSENMO,Y162C,0.49
DOLSENMO,Y176,0.49
DOLSENMO,Y180,1.49
DOLSENMO,Y181,1.49
DOLSENMO,Y185,0.49
DOLSENMO,Y188,0.49
DOLSENMO,Y191,0.79
DOLSENMO,Y194,0.79
DOLSENMO,LLLARGE,1.5
DOLSENMO,LC04,1.55
DOLSENMO,LC05,1.55
DOLSENMO,LC15,1.55
DOLSENMO,LC16,1.55
DOLSENMO,C9082,9.95
DOLSENMO,C9107,16.95
DOLSENMO,C9108,16.95
DOLSENMO,C9114,12.17
DOLSENMO,C9109,16.95
DOLSENMO,C9115,17.2
DOLSENMO,C9132,14.14
DOLSENMO,LGP624,8.95
DOLSENMO,LGP625,8.95
DOLSENMO,LGP624,8.95
DOLSENMO,LGP631,26.87
DOLSENMO,LGP632,26.87
DOLSENMO,LGP633,26.87
DOLSENMO,LGP634,15.54
DOLSENMO,LGP635,15.54
DOLSENMO,LGP636,15.54
DOLSENMO,LGP637,15.54
DOLSENMO,LGP638,15.54
DOLSENMO,P603,1.4
DOLSENMO,P605,1.4
DOLSENMO,P607,1.4
DOLSENMO,P613A,2.5
DOLSENMO,P613B,2.5
DOLSENMO,P613C,2.5
DOLSENMO,P632,2.95
DOLSENMO,P631,2.95
DOLSENMO,P630,2.95
DOLSENMO,P640A,3.25
DOLSENMO,P912L,4.95
DOLSENMO,P988,8.89
DOLSENMO,P989,8.89
DOLSENMO,P914,3.95
DOLSENMO,P919,7.95
DOLSENMO,GP6015,9.89
DOLSENMO,GP6016,9.49
DOLSENMO,P932,12.89
DOLSENMO,P788,9.89
DOLSENMO,P915,7.89
DOLSENMO,WD159N,27.89
DOLSENMO,TS-56N,18.89
DOLSENMO,WD170,10.89
DOLSENMO,WD167,17.89
DOLSENMO,WD171,8.89
DOLSENMO,WD172,9.89
DOLSENMO,WD173,19.89
DOLSENMO,WD174,21.89
DOLSENMO,WD150,39.89
DOLSENMO,WD-80,7.89
DOLSENMO,TSK1N,5.49
DOLSENMO,SB25T,0.49
DOLSENMO,SB32J,0.49
DOLSENMO,SB38A,0.59
DOLSENMO,SB3851,0.69
DOLSENMO,SB51E,0.79
DOLSENMO,SB5176,1.09
DOLSENMO,SB76A,1.49
DOLSENMO,SB76102,1.69
DOLSENMO,CIG485,4.69
DOLSENMO,CIG486,4.69
DOLSENMO,CIG487,4.69
DOLSENMO,CIG488,4.69
DOLSENMO,CIG489,4.69
DOLSENMO,CIG398,10.89
DOLSENMO,CIG441,3.25
DOLSENMO,CIG442,3.25
DOLSENMO,CIG445,3.89
