CONTRACT,CON_DES
APCO,APCO
BARBUYS,BARGAIN BUYS
BARCITY,BARGAIN CITY
DISDAVE,DISCOUNT DAVE
DOLSEN,DOLLARS & SENSE
DOLSENMO,DOLLARS & SENSE MT OM
FRECHOHO,FREECHOICE HEAD OFFICE
JUSCRABAR,JUST CRAZY BARGAINS
MADHOUSE,MADHOUSE DISCTOUNTS
MASTALL,MASTER ALL
MASTCONSG1,MASTER SUNGLASSES GRP 1
MASTCONSG2,MASTER SUNGLASSES GRP 2
MASTCONSG3,MASTER SUNGLASSES GRP 3
MASTNONE,MASTER NONE
MASTOILP,MASTER OIL POURER
OVERFLOW,OVERFLOW SUMMNER  PARK GROUP
PRIBUS,PRICE BUSTERS
PUMAENERGY,PUMAENERGY
RAYMCTC,RAYMENT CTC
RONDIS,RONIS DISCOUNT
SAPUTRA,SAPUTRA
SIAPTYLTD,SIA GROUP
SILSOL,SILLY SOLLY
SINDHIZ,SINDHIZ GROUP
SMADOL,SMART DOLLAR
SMOKEMART,SMOKEMART
SPARECHANG,SPARECHANGE
SYDENHAM,SYDENHAM
TSGDES,TSG DESIRE
UNITED,UNITED
UNITING,UNITINY CARE GROUP
WAYNEWO,WAYNES WORLD
WSNTRUST,WSN TRUST
